id_,name,birthday,is_birthday_public,comment,favorite_card_id,favorite_card_before_awake,mst_achievement_id,mst_achievement_id_list,lp,album_count,story_count
9abf78829b5d4490b1c6b69e6fc1b0e4,珘子,,0,即使再過不久就要謝幕，我也要在這裡達成我該做的使命！衷心感謝台服這26個月來的陪伴與成長！日服ID：8W8H7ZSL,9abf7882-9b5d-4490-b1c6-b69e6fc1b0e4_680,0,1375,"1375,998,817,1238,533,546,556,553,532,528,512,542,550,516,163,410,787,953,983,1104,1360,400,1042,445",4742,55,0
75f421ca7df2426f8718d2d34baab527,ペットリー,,0,請多多指教,75f421ca-7df2-426f-8718-d2d34baab527_567,0,1238,1238,4511,55,0
d5777c5a352e4fe4947829daf01fd997,彩虹獨角獸,,0,GitHub RainbowUnicorn7297 施工中,d5777c5a-352e-4fe4-9478-29daf01fd997_550,1,871,"871,533",4750,55,0
9dd363fb903e4c9ab8c1177bb27cc5db,紫東,,0,嗚 還有甚麼遺願呢,9dd363fb-903e-4c9a-b8c1-177bb27cc5db_486,1,1309,1309,4830,55,0
e02283590359499f8533c4652345050e,Henry23,,0,慶祝台版二週年 各位辛苦了,e0228359-0359-499f-8533-c4652345050e_578,0,1140,"1140,1166,515,1243",4653,55,0
34bfc7dd6b734af192b36988c3b18ac8,伸縮自如的愛,,0,再見。                                       日: GW8WEDZX,34bfc7dd-6b73-4af1-92b3-6988c3b18ac8_483,1,535,"535,953,537,1309",4677,55,0
fd960ccacc76433e9dfaea96768d848e,梅兔 ,,0,要關服了。謝謝 所有偶像，今日 明日 之後■我會記得那段陪伴回憶(´；ω；｀),fd960cca-cc76-433e-9dfa-ea96768d848e_639,1,1346,"1346,1352",4127,55,0
d2a4a7e21e0c40178e41a9ecd21e23d2,特殊性。3988,,0,這雖然是遊戲，但可不是鬧著玩的,d2a4a7e2-1e0c-4017-8e41-a9ecd21e23d2_179,1,1494,"1494,445",4558,55,0
59ca311bca444206a6050a8c0fb3d659,GAOGAIGAR,,0,1/28關服還差三位角色沒抽到過SSR，日版ID：UU8JXTAG,59ca311b-ca44-4206-a605-0a8c0fb3d659_108,0,445,"445,1494,318",4501,55,0
9eb6e22e44bb4f0abd8221a9b8dc0cf1,大宅,,0,完成最後的任務了QQ,9eb6e22e-44bb-4f0a-bd82-21a9b8dc0cf1_258,1,448,448,4541,55,0
971e604bca3c41d7b4c6fa23d8f620a5,長谷川翔太（點點）,,0,72萬親密，已永遠無法達成...,971e604b-ca3c-41d7-b4c6-fa23d8f620a5_379,0,1136,"1136,566,513,402,871,903,908,958,1003,1094,1109,1124",4509,55,0
d462926018fb4b72b9cbabd9c442f592,悠久之風,,0,即使夢想結束了，依然得繼續生存,d4629260-18fb-4b72-b9cb-abd9c442f592_2,1,318,318,4575,55,0
c31aa11773ad474ba7d11cdf07162397,絕翼@珍重再見,,0,感謝各位堅持到最後的同僚，我們有緣再會。,c31aa117-73ad-474b-a7d1-1cdf07162397_644,0,555,"555,650,1220,807,942,1018,1064,1243,1315,1320,1331,1335,1346,1351,1361,1365,1376,1380",4568,55,0
3d19952ac64e4c0287bba9874d1e9ab4,夜樓,,0,好想要FES千早 好想要FES千早 好想要FES千早 好想要FES千早 好想要FES千早 好想要FES千早,3d19952a-c64e-4c02-87bb-a9874d1e9ab4_628,0,1136,"1136,566,1135,1139,1141,1143,1145,1147,1149,1151,1153,1157,1159,1161,1163,1165,1167,1169,1171,1173,1175,1177,1179,1181,1183,1185,1187,1189,1191,1193,1195,1197,1199,1201,1203,1205,1207,1209,1211,1213,1215,1217,1219,1221,1223,1225,1227,1229,1231,1233,1235,1237",4406,55,0
737f243b20f74c0b8b5a720956449915,Freesia,,0,能與大家相遇 是我的人生裡其中一個最難忘的回憶,737f243b-20f7-4c0b-8b5a-720956449915_572,0,528,"528,556,163,346,410,487,673,738,777,832,837,852,878,903,927,1064,1079,1094,1109,1119,1124,1243,1319",4509,55,0
862547da30de4803ab70997017fbad4c,純喫茶@說好不哭,,0,就讓我們笑著走完 這最後一哩路吧,862547da-30de-4803-ab70-997017fbad4c_278,0,604,"604,1174",4431,55,0
e89ee6034ece49c6a596a866f1e95026,櫻坂雫,,0,人生有下坡路也有上坡路，但是果然還是？            櫻坂！,e89ee603-4ece-49c6-a596-a866f1e95026_572,1,1059,"1059,1065,1049,596,598,602,669,154,174,298,322,347,384,426,468,498,739,773,803,833,874,904,938,969,999",4332,55,0
20c772ac28544e7994fb63a0c439398c,大禹,,0,彼岸,20c772ac-2854-4e79-94fb-63a0c439398c_486,1,318,318,4449,55,0
54c26c7da13c4383b14d6d2996ca2267,巨熊,,0,台版關門日版見，日服ID MTANHSG2,54c26c7d-a13c-4383-b14d-6d2996ca2267_572,0,364,364,4139,55,0
21a5da969a984dbea7ecb6fe1215fa64,種田琴葉我婆,,0,種田大法生日快樂！琴葉老婆永遠愛妳！,21a5da96-9a98-4dbe-a7ec-b6fe1215fa64_9001,1,596,596,4456,55,0
21bff83007f74a17813b43c6076eba2b,早坂爱,,0,带千早和揪帕上总榜，从細氷到JBM到神的微笑，千早就如歌一样微笑会让绝望消失，心中的影子现在就变成光，愿和千早一起走下去,21bff830-07f7-4a17-813b-43c6076eba2b_628,0,1134,"1134,1136,1138,1140,1142,1144,1146,1148,1150,1152,1154,1156,1158,1160,1162,1164,1166,1168,1170,1172,1174,1176,1178,1180,1182,1184,1186,1188,1190,1192,1194,1196,1198,1200,1202,1204,1206,1208,1210,1212,1214,1216,1218,1220,1222,1224,1226,1228,1230,1232,1234,1236",4417,55,0
7f056ae96be14346a2721fe995f612a7,Roe@心好痛,,0,傲嬌至上～額頭醬賽高~！！！！     好きな伊織 ，来年も戦う！！！,7f056ae9-6be1-4346-a272-1fe995f612a7_438,1,518,"518,368,425,388,472,483,487,497,502,576,738,743,756,761,807,837,878,888,893,852,927,903,908,958,988,973",4478,55,0
45af51456422448f92687b3ded286cdf,安堵龍@各位珍重,,0,It is nice meeting you all.,45af5145-6422-448f-9268-7b3ded286cdf_277,1,1146,"1146,1220,1239,1244,518,555,576,650,922,927",4415,55,0
80605c603b7d485bb0eef46736fa131a,果凍★地鼠,,0,56789♪,80605c60-3b7d-485b-b0ee-f46736fa131a_664,0,922,"922,927,973,1013,1018,1094,1234,1166,1172,1194,1239,1244,1319,318",4357,55,0
8f000ea605aa467a8afb60e7d7a7b9cc,歐吼@謝謝茜茜,,0,小拳拳捶你胸口,8f000ea6-05aa-467a-8afb-60e7d7a7b9cc_150,0,1178,"1178,1182,1275,1277,705,707,608,613,70,74,225,229,226,230,534,536,69,73",4349,55,0
b2385a93fd7141f490c9c97e4407cd7e,阿凱@無情的養馬人,,0,打開日版 看起來一樣，但完全不一樣 不行了（哭了,b2385a93-fd71-41f4-90c9-c97e4407cd7e_222,1,1243,"1243,519,531,578,588,600,602,636,1148,1162,1172",4479,55,0
a7204cd8edb246b7ae8cbc01129dd838,幻影 戰鬥到關服,,0,第二屆滅了同擔行動結束，16彩36金，外加總榜分榜2個彩牌,a7204cd8-edb2-46b7-ae8c-bc01129dd838_287,1,31,"31,32,187,369,374,568,685,188,514,1255",4208,55,0
cad265be0e6648deb234940ac4921252,我是一舊雲,,0,"過去兩年帶來美妙如夢的時光,非常感謝MLTD",cad265be-0e66-48de-b234-940ac4921252_537,0,1331,"1331,1315,1239,1204,1220,1222,1166,1184,1120,1090,969,954,904,874,818,453,308,288",4113,55,0
212184a32a0b4f36a07247eb42920a2c,大總統Trum,,0,又…又舔嘴唇,212184a3-2a0b-4f36-a072-47eb42920a2c_524,1,1321,"1321,1316,1234,1162",4218,55,0
74d63933bd524fc6927093bfb595dce9,紅蓮,,0,坐等Arrive You ...等不到了,74d63933-bd52-4fc6-9270-93bfb595dce9_685,1,1210,"1210,1230,1212,1192,1196,1224,1220,1204,1329,1306,1351,1366",4407,55,0
c693850a28aa4a2aa2293f36bb153354,Harry,,0,無論昨天、今天，還是以後，我都會是琴葉最稱職的製作人，無論好壞，都會與你一起分享生活中的每一個時刻。,c693850a-28aa-4a2a-a229-3f36bb153354_572,1,1375,1375,4252,55,0
72d1dc6c74d2447fae3e692546ba7dc0,シイナ31,,0,PBA/ZXB 1位　赤世界 2位　花火團/SE 3位 日服:QBJSSS22,72d1dc6c-74d2-447f-ae3e-692546ba7dc0_148,0,364,364,4167,55,0
df1c6eb89fae49e0be389f526882071c,Leisures,,0,享受周年氣氛,df1c6eb8-9fae-49e0-be38-9f526882071c_436,1,1329,"1329,666,472,807,563",4346,55,0
bc333e1eae704f3e97a78bb5faddcf0a,765,,0,巴哈有人中文資料保存計畫。    HansP，跑去日服惹,bc333e1e-ae70-4f3e-97a7-8bb5faddcf0a_9001,1,1166,"1166,1239,1245,596,670,673",4355,55,0
ccd5498c1892442888a69682e1ee1bcc,願,,0,咻哇咻哇～*  咻哇咻咻哇咻哇哇,ccd5498c-1892-4428-88a6-9682e1ee1bcc_286,0,1166,"1166,596,1198",4405,55,0
635c84d486c24bb39893f96ea6f6de60,iknb,,0,QQ,635c84d4-86c2-4bb3-9893-f96ea6f6de60_669,0,1188,"1188,1172,1170,1178,1174,1158,1142,1194,1190,1206",4337,55,0
78fdbcae61504251af6fee1ff8e9c1c6,星神光羽,,0,再見了我的10井台帳， 大家有緣日版再見 日版ID: CLMXM3T8,78fdbcae-6150-4251-af6f-ee1ff8e9c1c6_286,1,528,"528,596,1166,1243",4570,55,0
e6f6e467001b4060be52df5058f2768d,曉星,,0,沒有最近的花籃資訊(･ω･`),e6f6e467-001b-4060-be52-df5058f2768d_107,1,562,562,4134,55,0
bc5b533f61054cd1bb27563ca0dafbe6,優比,,0,要倒了嗚嗚大家日版見QuQ(●´ω｀●)ゞ,bc5b533f-6105-4cd1-bb27-563ca0dafbe6_572,0,1166,"1166,1198",3811,55,0
18830f207e574bf98d73a31100ed87f5,樹樹@結束了QQ,,0,關服前兩個極，傷心:(,18830f20-7e57-4bf9-8d73-a31100ed87f5_409,1,518,"518,541,576,622,1146,1192",4298,55,0
2ed83a3d74204bde9f48b8833fd701f7,盤子葛格,,0,活動後半回娘家,2ed83a3d-7420-4bde-9f48-b8833fd701f7_621,0,558,"558,444,656,1226,738,968,1074,1365",4330,55,0
8e522e59f0c248a2a6f8df8edd5e4cf8,AYuE@感謝,,0,倒了…..,8e522e59-f0c2-48a2-a6f8-df8edd5e4cf8_77,1,563,"563,666,893,399,738",4240,55,0
9663e45d4f1f4491bf658eb7e99731c6,理查,,0,なりたかった自分も なれなかった自分も 全部自分だ 自分の人生を精一杯楽しむください,9663e45d-4f1f-4491-bf65-8eb7e99731c6_175,0,514,514,4470,55,0
8aa5c47586244f23addf476bb16514bb,チルチル@感谢陪伴,,0,感谢大家的陪伴，我会永远记得我们共同成长的那些点点滴滴！最後、劇場の皆さんはきっとトップアイドルになると信じる！！！,8aa5c475-8624-4f23-addf-476bb16514bb_572,0,596,"596,1166,1172,1168,833,904,938,984,1060,1090,1331,364,1049,1042,1053,1038,1039,1040,1041,1058",4261,55,0
619c34de3eb54b688a62cd10169ca203,野外3,,0,大家CGSS見,619c34de-3eb5-4b68-8a62-cd10169ca203_486,1,1210,"1210,1138,1190,640,568,550",4168,55,0
6d1ce793d87b4e268448bec39f39ec15,Mashilo玥,,0,各位有緣再會！！日版UZ7EEFJ2,6d1ce793-d87b-4e26-8448-bec39f39ec15_363,1,512,"512,1134,564,863,528,540,483,739,757,773,788,803,818,848,874,889,904,923,938,943,954,969,984,989,999,1014,1060,1065,1075,1080,1090,1095,1105,1120,1125,1239,1244,1315,1331,1335,1351",4287,55,0
ebd94846d6874c31a41ba8c6152d854b,石虎@有緣日版見,,0,跳日版id:LJ7PJQQ9 台p蒐集中。,ebd94846-d687-4c31-a41b-a8c6152d854b_110,0,1148,"1148,578,519,198,197,42,41,1239,1260",4273,55,0
