mst_title_image_id,title_image_type,sort_id,begin_date,end_date
1,3,31000,2021-03-18T15:00:00+0800,2099-12-31T23:59:59+0800
2,3,32000,2021-03-18T15:00:00+0800,2099-12-31T23:59:59+0800
3,3,32001,2021-03-18T15:00:00+0800,2099-12-31T23:59:59+0800
4,3,32002,2021-03-18T15:00:00+0800,2099-12-31T23:59:59+0800
5,2,20000,2021-03-18T15:00:00+0800,2099-12-31T23:59:59+0800
6,2,20001,2021-03-18T15:00:00+0800,2099-12-31T23:59:59+0800
7,2,20002,2021-03-18T15:00:00+0800,2099-12-31T23:59:59+0800
8,2,20003,2021-03-18T15:00:00+0800,2099-12-31T23:59:59+0800
9,2,20004,2021-03-18T15:00:00+0800,2099-12-31T23:59:59+0800
10,2,20005,2021-03-18T15:00:00+0800,2099-12-31T23:59:59+0800
11,2,20006,2021-03-18T15:00:00+0800,2099-12-31T23:59:59+0800
12,2,20007,2021-03-18T15:00:00+0800,2099-12-31T23:59:59+0800
13,2,20008,2021-03-18T15:00:00+0800,2099-12-31T23:59:59+0800
14,2,20009,2021-03-18T15:00:00+0800,2099-12-31T23:59:59+0800
15,2,20010,2021-03-18T15:00:00+0800,2099-12-31T23:59:59+0800
16,2,20011,2021-03-18T15:00:00+0800,2099-12-31T23:59:59+0800
17,2,20012,2021-03-18T15:00:00+0800,2099-12-31T23:59:59+0800
18,2,20013,2021-03-18T15:00:00+0800,2099-12-31T23:59:59+0800
19,2,20014,2021-03-18T15:00:00+0800,2099-12-31T23:59:59+0800
20,2,20015,2021-03-18T15:00:00+0800,2099-12-31T23:59:59+0800
21,2,20016,2021-03-18T15:00:00+0800,2099-12-31T23:59:59+0800
22,2,20017,2021-03-18T15:00:00+0800,2099-12-31T23:59:59+0800
23,2,20018,2021-03-18T15:00:00+0800,2099-12-31T23:59:59+0800
24,2,20019,2021-03-18T15:00:00+0800,2099-12-31T23:59:59+0800
25,3,31001,2021-03-18T15:00:00+0800,2099-12-31T23:59:59+0800
26,2,20020,2021-03-18T15:00:00+0800,2099-12-31T23:59:59+0800
27,2,20021,2021-03-18T15:00:00+0800,2099-12-31T23:59:59+0800
28,2,20022,2021-03-18T15:00:00+0800,2099-12-31T23:59:59+0800
29,2,20023,2021-03-18T15:00:00+0800,2099-12-31T23:59:59+0800
30,2,20024,2021-03-18T15:00:00+0800,2099-12-31T23:59:59+0800
31,2,20025,2021-03-18T15:00:00+0800,2099-12-31T23:59:59+0800
32,2,20026,2021-03-18T15:00:00+0800,2099-12-31T23:59:59+0800
33,2,20027,2021-03-18T15:00:00+0800,2099-12-31T23:59:59+0800
34,2,20028,2021-03-18T15:00:00+0800,2099-12-31T23:59:59+0800
35,2,20029,2021-03-18T15:00:00+0800,2099-12-31T23:59:59+0800
36,2,20030,2021-03-18T15:00:00+0800,2099-12-31T23:59:59+0800
37,2,20031,2021-03-18T15:00:00+0800,2099-12-31T23:59:59+0800
38,2,20032,2021-03-18T15:00:00+0800,2099-12-31T23:59:59+0800
39,2,20033,2021-03-18T15:00:00+0800,2099-12-31T23:59:59+0800
40,2,20034,2021-03-18T15:00:00+0800,2099-12-31T23:59:59+0800
41,2,20035,2021-03-18T15:00:00+0800,2099-12-31T23:59:59+0800
42,2,20036,2021-03-19T15:00:00+0800,2099-12-31T23:59:59+0800
43,2,20037,2021-09-25T13:00:00+0800,2099-12-31T23:59:59+0800
44,2,20038,2021-09-25T13:00:00+0800,2099-12-31T23:59:59+0800
45,2,20039,2021-09-25T13:00:00+0800,2099-12-31T23:59:59+0800
46,2,20040,2021-09-25T13:00:00+0800,2099-12-31T23:59:59+0800
47,2,20041,2021-09-25T13:00:00+0800,2099-12-31T23:59:59+0800
48,2,20042,2021-09-25T13:00:00+0800,2099-12-31T23:59:59+0800
49,3,32003,2021-03-18T15:00:00+0800,2099-12-31T23:59:59+0800
50,3,32004,2021-03-18T15:00:00+0800,2099-12-31T23:59:59+0800
51,3,32005,2021-09-25T13:00:00+0800,2099-12-31T23:59:59+0800
52,3,31002,2021-09-25T13:00:00+0800,2099-12-31T23:59:59+0800
