mst_theater_contact_id,mst_theater_main_story_id,mst_theater_guest_main_story_id,mst_theater_blog_id,mst_theater_costume_blog_id,mst_theater_event_story_id,mst_event_id,duration
0,0,0,0,0,30001,4,26
0,0,0,0,0,30002,7,21
0,0,0,0,0,30003,9,29
0,0,0,0,0,30004,11,25
0,0,0,0,0,30005,12,27
0,0,0,0,0,30006,14,41
0,0,0,0,0,30007,15,26
0,0,0,0,0,30008,17,33
0,0,0,0,0,30009,18,26
0,0,0,0,0,30010,20,37
0,0,0,0,0,30011,21,32
0,0,0,0,0,30012,23,38
0,0,0,0,0,30013,24,32
0,0,0,0,0,30014,26,32
0,0,0,0,0,30015,27,40
0,0,0,0,0,30016,29,39
0,0,0,0,0,30017,30,31
0,0,0,0,0,30018,32,40
0,0,0,0,0,30019,33,39
0,0,0,0,0,30020,35,32
0,0,0,0,0,30021,46,42
0,0,0,0,0,30022,48,35
0,0,0,0,0,30023,50,34
0,0,0,0,0,30024,52,45
0,0,0,0,0,30025,54,45
0,0,0,0,0,30026,56,40
0,0,0,0,0,30027,58,45
0,0,0,0,0,30028,60,43
0,0,0,0,0,30029,62,53
0,0,0,0,0,30030,64,52
0,0,0,0,0,30031,66,30
0,0,0,0,0,30032,68,42
0,0,0,0,0,30033,70,36
0,0,0,0,0,30034,72,41
0,0,0,0,0,30035,74,43
0,0,0,0,0,30036,76,43
0,0,0,0,0,30037,78,51
0,0,0,0,0,30038,81,45
0,0,0,0,0,30039,83,45
0,0,0,0,0,30040,85,45
0,0,0,0,0,30041,87,45
0,0,0,0,0,30042,89,41
0,0,0,0,0,30043,91,43
0,0,0,0,0,30044,94,40
0,0,0,0,0,30045,96,34
0,0,0,0,0,30046,98,34
0,0,0,0,0,30047,100,36
0,0,0,0,0,30048,102,37
