mst_mission_id,mst_panel_mission_id,mst_idol_mission_id,mst_panel_mission_sheet_id,mst_item_id,item_type_id,amount,mst_card_id,mst_achievement_id,mst_song_id,resource_id
1,0,0,,3,1,50,,0,,
2,0,0,,3,1,50,,0,,
3,0,0,,3,1,50,,0,,
4,0,0,,0,0,1,,4,,achievement_004
5,0,0,,3,1,100,,0,,
6,0,0,,0,0,1,,5,,achievement_005
7,0,0,,22,6,1,,0,,
8,0,0,,0,0,1,,6,,achievement_006
9,0,0,,3,1,50,,0,,
10,0,0,,0,0,1,,7,,achievement_007
11,0,0,,3,1,50,,0,,
12,0,0,,0,0,1,,8,,achievement_008
13,0,0,,3,1,50,,0,,
14,0,0,,0,0,1,,9,,achievement_009
15,0,0,,200,8,1,,0,,
16,0,0,,201,8,1,,0,,
17,0,0,,202,8,1,,0,,
18,0,0,,0,0,1,,10,,achievement_010
30,0,0,,3,1,50,,0,,
31,0,0,,0,0,1,,11,,achievement_011
32,0,0,,3,1,50,,0,,
33,0,0,,0,0,1,,12,,achievement_012
34,0,0,,3,1,50,,0,,
35,0,0,,0,0,1,,13,,achievement_013
36,0,0,,3,1,50,,0,,
37,0,0,,0,0,1,,2,,achievement_002
38,0,0,,3,1,100,,0,,
39,0,0,,0,0,1,,3,,achievement_003
40,0,0,,3,1,25,,0,,
41,0,0,,3,1,25,,0,,
42,0,0,,3,1,50,,0,,
43,0,0,,0,0,1,,14,,achievement_014
44,0,0,,0,0,1,,15,,achievement_015
45,0,0,,0,0,1,,16,,achievement_016
46,0,0,,0,0,1,,17,,achievement_017
47,0,0,,0,0,1,,18,,achievement_018
48,0,0,,3,1,25,,0,,
49,0,0,,0,0,1,,19,,achievement_019
50,0,0,,3,1,25,,0,,
51,0,0,,3,1,50,,0,,
52,0,0,,0,0,1,,20,,achievement_020
53,0,0,,3,1,25,,0,,
54,0,0,,3,1,25,,0,,
55,0,0,,0,0,1,,21,,achievement_021
56,0,0,,3,1,25,,0,,
57,0,0,,0,0,1,,22,,achievement_022
58,0,0,,3,1,25,,0,,
59,0,0,,0,0,1,,23,,achievement_023
60,0,0,,3,1,25,,0,,
61,0,0,,0,0,1,,24,,achievement_024
62,0,0,,3,1,25,,0,,
63,0,0,,0,0,1,,25,,achievement_025
64,0,0,,3,1,25,,0,,
65,0,0,,3,1,25,,0,,
66,0,0,,0,0,1,,26,,achievement_026
70,0,0,,22,6,1,,0,,
71,0,0,,3,1,50,,0,,
72,0,0,,201,8,1,,0,,
73,0,0,,301,9,1,,0,,
74,0,0,,403,2,1000,,0,,
75,0,0,,21,6,1,,0,,
77,0,0,,3,1,25,,0,,
78,0,0,,3,1,25,,0,,
79,0,0,,0,0,1,,317,,achievement_006
80,0,0,,3,1,50,,0,,
81,0,0,,0,0,1,,318,,achievement_007
93,0,0,,0,0,1,,367,,achievement_367
94,0,0,,3,1,100,,0,,
95,0,0,,0,0,1,,440,,achievement_006
96,0,0,,0,0,1,,441,,achievement_007
97,0,0,,3,1,50,,0,,
98,0,0,,0,0,1,,442,,achievement_007
99,0,0,,3,1,50,,0,,
100,0,0,,3,1,50,,0,,
